"BRAND","DIVISION","EMPLOYEE","DATE","LABEL","SORT","ID","BULLHORNURL"
"Government","13640f37-e5d6-47fb-8457-1658aaf09c60","0063349f-eac2-46ba-921a-a6187b0669d6","20230913","Project Manager","Project Manager","26125",""
"ERP","d3998400-e6f2-4dab-8874-8ae5e065c260","04469917-55dc-4fdf-802b-0bcef5c750c0","20230915","WFC Data Extraction Resource","WFC Data Extraction Resource","26150",""
"Life Sciences","026ad33f-6dcb-4b1c-bd32-47b0eb0ff9ca","0cad53bb-60cb-4ca2-92f4-023b371bfcc5","20230914","Senior Medical Affairs Training Specialist","Senior Medical Affairs Training Specialist","26138",""
"Data Information Security & Sciences","f4e9c17e-a9be-4282-84d9-0ff0317bde99","12c9a870-4703-4ad9-86ad-f5d6dafcf934","20230915","Cybersecurity Infrastructure Architect","Cybersecurity Infrastructure Architect","26147",""
"Life Sciences","026ad33f-6dcb-4b1c-bd32-47b0eb0ff9ca","1a5a8f23-a33e-492e-9ef2-60dae127adc5","20230916","Pharmacovigilance Consultant","Pharmacovigilance Consultant","26156",""
"Life Sciences","9603909a-57a4-4de5-aa5b-2e6699e26c2e","1db9c362-78f2-42ce-942e-7b7f2326fd58","20230912","Manufacturing Engineer / Manager per Schedule A","Manufacturing Engineer / Manager per Schedule A","26121",""
"Life Sciences","aa240704-e241-48ee-b258-700f97fa2d46","21a29c87-a18a-4ad9-abd2-187e88506d59","20230915","Clinical Project Director","Clinical Project Director","26151",""
"Life Sciences","99694809-d109-4daf-be1c-78919c76487c","27e71324-8171-434e-9215-5a66247a75d6","20230911","Regulatory IFU Technical Writer","Regulatory IFU Technical Writer","26109",""
"ERP","255dcae6-e360-4e33-b938-68e191ccc794","2f8541a6-110a-4744-9b01-7581124e3d45","20230913","Oracle Cloud Functional ORC Resource","Oracle Cloud Functional ORC Resource","26128",""
"Data Information Security & Sciences","f4e9c17e-a9be-4282-84d9-0ff0317bde99","311184a4-67ed-4430-bc4c-f9ddb01ac2e8","20230914","Application Security - Attack Surface Reduction Engineer","Application Security - Attack Surface Reduction Engineer","26140",""
